,A1V1,A1V2,A1V3,A1V4,A1V5,A1V6,A1V7,A1V8,A1V9,A1V10,A2V1,A2V2,A2V3,A2V4,A2V5,A2V6,A2V7,A2V8,A2V9,A2V10
0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1
2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1
3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1
5,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
6,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0
7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
8,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0
