Type of Bug,Edit Action
T,DFLR
M,NLR
T,LR
A,NPLRH
A,DPLR
T,DLR
T,NPLC
M,DNLR
T,DPL
M,NOFPLH
T,DFLR
I,DLRH
T,DFL
T,L
I,DNLH
I,FL
I,DLR
I,DOLCH
T,DL
A,OFL
M,DNFPLR
T,FPL
T,FLR
T,DFL
T,FLH
T,DFPL
T,DFPLCH
T,DL
M,PL
M,NLRH
I,L
T,NOLRCH
I,DLRC
T,DOLRC
T,DLH
I,DLRH
M,DLH
A,NPLR
T,DLRH
M,DNPLR
I,DLRC
A,LH
G,L
M,DLH
T,DL
T,DLRH
I,LH
M,NOFPLCH
T,DL
A,DLR
T,OLRC
T,OPLRCH
T,NPLCH
M,NLR
M,NPLH
M,NPMLRCH
M,OPLR
M,NFLCH
M,NLRCH
M,LH
M,DNLRC
M,NL
M,DNMLRC
Mixed Bug,LRCH
Mixed Bug,DNLRH
Mixed Bug,DFPLCH
Mixed Bug,DLRH
I,DPLC
I,LH
I,DNOPLC
I,DOPL
I,PL
I,LH
I,DOLRCH
I,OLRH
I,LRH
A,DLH
A,DMLRH
A,L
G,L
G,L
A,L
A,L
I,OLRC
I,DOLRH
