Bug ID,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
71223747,0,1,0,1,0
61706535,1,0,0,1,1
50920908,1,1,0,0,1
69137834,0,1,0,0,1
66489112,0,1,0,1,1
65889068,0,1,0,0,1
64576751,1,0,1,1,0
55142951,1,1,0,0,0
68011125,0,1,0,1,1
66524542,1,1,1,1,1
63073170,0,0,1,1,1
65228352,1,1,1,1,1
63206710,0,1,1,1,0
72845812,1,1,0,1,0
45711636,1,0,0,0,1
73349963,1,1,0,1,1
74610068,1,0,1,1,1
59278771,1,1,1,1,1
76186890,0,1,1,0,0
55731589,1,0,1,1,1
73276139,1,0,1,1,0
55955130,0,0,0,0,0
70233512,1,1,0,1,0
67764431,0,0,1,0,1
70316929,0,0,1,1,0
43464835,1,1,1,0,1
41651628,1,0,0,1,1
71652014,1,0,1,1,1
73266661,1,0,1,1,0
63204176,1,1,1,1,1
48934338,1,1,1,1,1
51930566,1,0,0,0,1
50306988,1,1,1,1,1
31880720,1,1,1,1,0
71457035,1,1,1,1,0
63176966,0,1,1,0,0
65992364,1,1,1,1,0
66818548,1,0,1,0,1
48251943,1,1,1,0,0
69284837,0,1,0,1,0
